name,callsign,year,month,country_code
11-Nov,2ISV4,2015,7,IT
11-Nov,2ISV4,2015,8,IT
11-Nov,2ISV4,2015,8,FR
11-Nov,2ISV4,2015,8,MT
11-Nov,2ISV4,2015,9,FR
11-Nov,2ISV4,2015,9,IT
11-Nov,2ISV4,2015,9,MC
11-Nov,2ISV4,2015,10,FR
11-Nov,2ISV4,2015,10,IT
11-Nov,2ISV4,2015,11,IT
11-Nov,2ISV4,2015,12,IT
11-Nov,2ISV4,2015,12,MA
11-Nov,2ISV4,2015,12,ES
11-Nov,2ISV4,2015,12,GI
11-Nov,2ISV4,2016,1,VG
11-Nov,2ISV4,2016,1,US
11-Nov,2ISV4,2016,1,VI
11-Nov,2ISV4,2016,2,US
11-Nov,2ISV4,2016,3,US
11-Nov,2ISV4,2016,4,US
11-Nov,2ISV4,2016,4,ES
11-Nov,2ISV4,2016,5,ES
11-Nov,2ISV4,2016,6,ES
11-Nov,2ISV4,2016,6,FR
11-Nov,2ISV4,2016,7,FR
11-Nov,2ISV4,2016,7,IT
11-Nov,2ISV4,2016,7,ME
11-Nov,2ISV4,2016,7,GR
11-Nov,2ISV4,2016,8,IT
11-Nov,2ISV4,2016,8,MT
11-Nov,2ISV4,2016,9,IT
11-Nov,2ISV4,2016,9,FR
11-Nov,2ISV4,2016,9,MC
11-Nov,2ISV4,2016,10,IT
11-Nov,2ISV4,2016,11,IT
11-Nov,2ISV4,2016,11,ES
11-Nov,2ISV4,2016,12,ES
11-Nov,2ISV4,2016,12,MA
11-Nov,2ISV4,2017,1,VG
11-Nov,2ISV4,2017,1,VI
11-Nov,2ISV4,2017,2,US
11-Nov,2ISV4,2017,2,VI
11-Nov,2ISV4,2017,3,US
11-Nov,2ISV4,2017,5,PT
11-Nov,2ISV4,2017,5,ES
11-Nov,2ISV4,2017,5,FR
11-Nov,2ISV4,2017,5,VG
11-Nov,2ISV4,2017,5,GI
11-Nov,2ISV4,2017,5,VI
11-Nov,2ISV4,2017,6,ES
11-Nov,2ISV4,2017,6,IT
11-Nov,2ISV4,2017,6,FR
11-Nov,2ISV4,2017,7,IT
11-Nov,2ISV4,2017,7,FR
11-Nov,2ISV4,2017,8,IT
11-Nov,2ISV4,2017,8,GR
11-Nov,2ISV4,2017,8,ES
11-Nov,2ISV4,2017,8,FR
11-Nov,2ISV4,2017,8,MC
11-Nov,2ISV4,2017,9,FR
